Date,Source,Site ID,POC,Daily Max 1-hour NO2 Concentration,Units,Daily AQI Value,Local Site Name,Daily Obs Count,Percent Complete,AQS Parameter Code,AQS Parameter Description,Method Code,CBSA Code,CBSA Name,State FIPS Code,State,County FIPS Code,County,Site Latitude,Site Longitude
3/21/2024,AQS,350010023,1,36.2,ppb,34,DEL NORTE HIGH SCHOOL,19,79,42602,Nitrogen dioxide (NO2),99,10740,"Albuquerque, NM",35,New Mexico,1,Bernalillo,35.1343,-106.5852
3/22/2024,AQS,350010023,1,32,ppb,30,DEL NORTE HIGH SCHOOL,24,100,42602,Nitrogen dioxide (NO2),99,10740,"Albuquerque, NM",35,New Mexico,1,Bernalillo,35.1343,-106.5852
3/23/2024,AQS,350010023,1,22.2,ppb,21,DEL NORTE HIGH SCHOOL,24,100,42602,Nitrogen dioxide (NO2),99,10740,"Albuquerque, NM",35,New Mexico,1,Bernalillo,35.1343,-106.5852
3/24/2024,AQS,350010023,1,24.5,ppb,23,DEL NORTE HIGH SCHOOL,19,79,42602,Nitrogen dioxide (NO2),99,10740,"Albuquerque, NM",35,New Mexico,1,Bernalillo,35.1343,-106.5852
3/25/2024,AQS,350010023,1,11.8,ppb,10,DEL NORTE HIGH SCHOOL,23,96,42602,Nitrogen dioxide (NO2),99,10740,"Albuquerque, NM",35,New Mexico,1,Bernalillo,35.1343,-106.5852
3/26/2024,AQS,350010023,1,14.6,ppb,13,DEL NORTE HIGH SCHOOL,24,100,42602,Nitrogen dioxide (NO2),99,10740,"Albuquerque, NM",35,New Mexico,1,Bernalillo,35.1343,-106.5852
3/27/2024,AQS,350010023,1,32,ppb,30,DEL NORTE HIGH SCHOOL,24,100,42602,Nitrogen dioxide (NO2),99,10740,"Albuquerque, NM",35,New Mexico,1,Bernalillo,35.1343,-106.5852
3/28/2024,AQS,350010023,1,40.6,ppb,38,DEL NORTE HIGH SCHOOL,24,100,42602,Nitrogen dioxide (NO2),99,10740,"Albuquerque, NM",35,New Mexico,1,Bernalillo,35.1343,-106.5852
4/2/2024,AQS,350010023,1,27.4,ppb,25,DEL NORTE HIGH SCHOOL,19,79,42602,Nitrogen dioxide (NO2),99,10740,"Albuquerque, NM",35,New Mexico,1,Bernalillo,35.1343,-106.5852
4/3/2024,AQS,350010023,1,23.6,ppb,22,DEL NORTE HIGH SCHOOL,24,100,42602,Nitrogen dioxide (NO2),99,10740,"Albuquerque, NM",35,New Mexico,1,Bernalillo,35.1343,-106.5852
4/4/2024,AQS,350010023,1,30.7,ppb,28,DEL NORTE HIGH SCHOOL,24,100,42602,Nitrogen dioxide (NO2),99,10740,"Albuquerque, NM",35,New Mexico,1,Bernalillo,35.1343,-106.5852
4/5/2024,AQS,350010023,1,32.8,ppb,30,DEL NORTE HIGH SCHOOL,24,100,42602,Nitrogen dioxide (NO2),99,10740,"Albuquerque, NM",35,New Mexico,1,Bernalillo,35.1343,-106.5852
4/6/2024,AQS,350010023,1,7.3,ppb,7,DEL NORTE HIGH SCHOOL,24,100,42602,Nitrogen dioxide (NO2),99,10740,"Albuquerque, NM",35,New Mexico,1,Bernalillo,35.1343,-106.5852
4/7/2024,AQS,350010023,1,13,ppb,12,DEL NORTE HIGH SCHOOL,19,79,42602,Nitrogen dioxide (NO2),99,10740,"Albuquerque, NM",35,New Mexico,1,Bernalillo,35.1343,-106.5852
4/8/2024,AQS,350010023,1,27.3,ppb,25,DEL NORTE HIGH SCHOOL,24,100,42602,Nitrogen dioxide (NO2),99,10740,"Albuquerque, NM",35,New Mexico,1,Bernalillo,35.1343,-106.5852
4/10/2024,AQS,350010023,1,30.3,ppb,28,DEL NORTE HIGH SCHOOL,19,79,42602,Nitrogen dioxide (NO2),99,10740,"Albuquerque, NM",35,New Mexico,1,Bernalillo,35.1343,-106.5852
4/11/2024,AQS,350010023,1,31,ppb,29,DEL NORTE HIGH SCHOOL,24,100,42602,Nitrogen dioxide (NO2),99,10740,"Albuquerque, NM",35,New Mexico,1,Bernalillo,35.1343,-106.5852
4/12/2024,AQS,350010023,1,23.4,ppb,22,DEL NORTE HIGH SCHOOL,24,100,42602,Nitrogen dioxide (NO2),99,10740,"Albuquerque, NM",35,New Mexico,1,Bernalillo,35.1343,-106.5852
4/13/2024,AQS,350010023,1,16.8,ppb,15,DEL NORTE HIGH SCHOOL,24,100,42602,Nitrogen dioxide (NO2),99,10740,"Albuquerque, NM",35,New Mexico,1,Bernalillo,35.1343,-106.5852
4/14/2024,AQS,350010023,1,17.4,ppb,16,DEL NORTE HIGH SCHOOL,19,79,42602,Nitrogen dioxide (NO2),99,10740,"Albuquerque, NM",35,New Mexico,1,Bernalillo,35.1343,-106.5852
4/15/2024,AQS,350010023,1,26.3,ppb,25,DEL NORTE HIGH SCHOOL,24,100,42602,Nitrogen dioxide (NO2),99,10740,"Albuquerque, NM",35,New Mexico,1,Bernalillo,35.1343,-106.5852
4/16/2024,AQS,350010023,1,24.7,ppb,23,DEL NORTE HIGH SCHOOL,24,100,42602,Nitrogen dioxide (NO2),99,10740,"Albuquerque, NM",35,New Mexico,1,Bernalillo,35.1343,-106.5852
4/17/2024,AQS,350010023,1,28.6,ppb,26,DEL NORTE HIGH SCHOOL,24,100,42602,Nitrogen dioxide (NO2),99,10740,"Albuquerque, NM",35,New Mexico,1,Bernalillo,35.1343,-106.5852
4/18/2024,AQS,350010023,1,17.2,ppb,16,DEL NORTE HIGH SCHOOL,24,100,42602,Nitrogen dioxide (NO2),99,10740,"Albuquerque, NM",35,New Mexico,1,Bernalillo,35.1343,-106.5852
4/19/2024,AQS,350010023,1,17.8,ppb,16,DEL NORTE HIGH SCHOOL,24,100,42602,Nitrogen dioxide (NO2),99,10740,"Albuquerque, NM",35,New Mexico,1,Bernalillo,35.1343,-106.5852
4/20/2024,AQS,350010023,1,8.8,ppb,8,DEL NORTE HIGH SCHOOL,24,100,42602,Nitrogen dioxide (NO2),99,10740,"Albuquerque, NM",35,New Mexico,1,Bernalillo,35.1343,-106.5852
4/21/2024,AQS,350010023,1,8.1,ppb,8,DEL NORTE HIGH SCHOOL,19,79,42602,Nitrogen dioxide (NO2),99,10740,"Albuquerque, NM",35,New Mexico,1,Bernalillo,35.1343,-106.5852
4/22/2024,AQS,350010023,1,19.6,ppb,18,DEL NORTE HIGH SCHOOL,24,100,42602,Nitrogen dioxide (NO2),99,10740,"Albuquerque, NM",35,New Mexico,1,Bernalillo,35.1343,-106.5852
4/23/2024,AQS,350010023,1,31.4,ppb,29,DEL NORTE HIGH SCHOOL,24,100,42602,Nitrogen dioxide (NO2),99,10740,"Albuquerque, NM",35,New Mexico,1,Bernalillo,35.1343,-106.5852
4/24/2024,AQS,350010023,1,17.2,ppb,16,DEL NORTE HIGH SCHOOL,24,100,42602,Nitrogen dioxide (NO2),99,10740,"Albuquerque, NM",35,New Mexico,1,Bernalillo,35.1343,-106.5852
4/25/2024,AQS,350010023,1,29.7,ppb,27,DEL NORTE HIGH SCHOOL,24,100,42602,Nitrogen dioxide (NO2),99,10740,"Albuquerque, NM",35,New Mexico,1,Bernalillo,35.1343,-106.5852
4/26/2024,AQS,350010023,1,6.9,ppb,6,DEL NORTE HIGH SCHOOL,24,100,42602,Nitrogen dioxide (NO2),99,10740,"Albuquerque, NM",35,New Mexico,1,Bernalillo,35.1343,-106.5852
4/27/2024,AQS,350010023,1,6.4,ppb,6,DEL NORTE HIGH SCHOOL,24,100,42602,Nitrogen dioxide (NO2),99,10740,"Albuquerque, NM",35,New Mexico,1,Bernalillo,35.1343,-106.5852
4/28/2024,AQS,350010023,1,8.2,ppb,8,DEL NORTE HIGH SCHOOL,19,79,42602,Nitrogen dioxide (NO2),99,10740,"Albuquerque, NM",35,New Mexico,1,Bernalillo,35.1343,-106.5852
4/29/2024,AQS,350010023,1,20.9,ppb,19,DEL NORTE HIGH SCHOOL,24,100,42602,Nitrogen dioxide (NO2),99,10740,"Albuquerque, NM",35,New Mexico,1,Bernalillo,35.1343,-106.5852
4/30/2024,AQS,350010023,1,16.8,ppb,15,DEL NORTE HIGH SCHOOL,24,100,42602,Nitrogen dioxide (NO2),99,10740,"Albuquerque, NM",35,New Mexico,1,Bernalillo,35.1343,-106.5852
5/1/2024,AQS,350010023,1,25.5,ppb,24,DEL NORTE HIGH SCHOOL,24,100,42602,Nitrogen dioxide (NO2),99,10740,"Albuquerque, NM",35,New Mexico,1,Bernalillo,35.1343,-106.5852
5/2/2024,AQS,350010023,1,19.7,ppb,18,DEL NORTE HIGH SCHOOL,24,100,42602,Nitrogen dioxide (NO2),99,10740,"Albuquerque, NM",35,New Mexico,1,Bernalillo,35.1343,-106.5852
5/3/2024,AQS,350010023,1,17.2,ppb,16,DEL NORTE HIGH SCHOOL,24,100,42602,Nitrogen dioxide (NO2),99,10740,"Albuquerque, NM",35,New Mexico,1,Bernalillo,35.1343,-106.5852
5/4/2024,AQS,350010023,1,20.7,ppb,19,DEL NORTE HIGH SCHOOL,24,100,42602,Nitrogen dioxide (NO2),99,10740,"Albuquerque, NM",35,New Mexico,1,Bernalillo,35.1343,-106.5852
5/5/2024,AQS,350010023,1,6,ppb,6,DEL NORTE HIGH SCHOOL,19,79,42602,Nitrogen dioxide (NO2),99,10740,"Albuquerque, NM",35,New Mexico,1,Bernalillo,35.1343,-106.5852
5/6/2024,AQS,350010023,1,8.5,ppb,8,DEL NORTE HIGH SCHOOL,24,100,42602,Nitrogen dioxide (NO2),99,10740,"Albuquerque, NM",35,New Mexico,1,Bernalillo,35.1343,-106.5852
5/7/2024,AQS,350010023,1,11.8,ppb,10,DEL NORTE HIGH SCHOOL,24,100,42602,Nitrogen dioxide (NO2),99,10740,"Albuquerque, NM",35,New Mexico,1,Bernalillo,35.1343,-106.5852
5/8/2024,AQS,350010023,1,14,ppb,13,DEL NORTE HIGH SCHOOL,24,100,42602,Nitrogen dioxide (NO2),99,10740,"Albuquerque, NM",35,New Mexico,1,Bernalillo,35.1343,-106.5852
